"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.text","Answer.Review.label","Approve","Reject"
"3RWB1RTQETNW20IX4YZWSG4Q7IO8PK","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","3Z7ISHFUHAVS3OIWH9208Y1RTNPZ8P","A2B6WQG0A9CKXQ","Submitted","Thu Nov 11 16:03:28 PST 2021","Thu Nov 11 16:52:39 PST 2021","Sun Nov 14 16:52:39 PST 2021","","","","2951","0% (0/0)","0% (0/0)","0% (0/0)","Best hotel everrr!","Fake"
"3RWB1RTQETNW20IX4YZWSG4Q7IO8PK","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","386PBUZZXPXXIGXBTC8IP9Z7UPBLJC","A4D99Y82KOLC8","Submitted","Thu Nov 11 16:02:23 PST 2021","Thu Nov 11 16:03:11 PST 2021","Sun Nov 14 16:03:11 PST 2021","","","","48","0% (0/0)","0% (0/0)","0% (0/0)","Best hotel everrr!","Real"
"34O39PNDLG80GBWJK2NVODU6G6XBRE","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","3K5TEWLKG5B4JAPZPYPO0HI988OIVG","A1NHA37BFZQLBJ","Submitted","Thu Nov 11 16:02:07 PST 2021","Thu Nov 11 16:02:48 PST 2021","Sun Nov 14 16:02:48 PST 2021","","","","41","0% (0/0)","0% (0/0)","0% (0/0)","Back at The Verb!","Fake"
"34O39PNDLG80GBWJK2NVODU6G6XBRE","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","3DIP6YHAPMSUSTR0LMONNO095HGE8Y","AKWAASQCNHOO6","Submitted","Thu Nov 11 16:02:16 PST 2021","Thu Nov 11 16:02:22 PST 2021","Sun Nov 14 16:02:22 PST 2021","","","","6","0% (0/0)","0% (0/0)","0% (0/0)","Back at The Verb!","Fake"
"371QPA24DCOCJSRJMUZ1IGIFIF3T1Q","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","34S6N1K2Z5J1RA2L5C5XDWJSHXDLHD","A1VJCSUBW6LQYG","Submitted","Thu Nov 11 17:02:50 PST 2021","Thu Nov 11 17:30:51 PST 2021","Sun Nov 14 17:30:51 PST 2021","","","","1681","0% (0/0)","0% (0/0)","0% (0/0)","We loved Verb & Ryan so much","Real"
"371QPA24DCOCJSRJMUZ1IGIFIF3T1Q","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","3ERET4BTVW9XSY2KM054LF8P9KU9K2","A9HQ3E0F2AGVO","Submitted","Thu Nov 11 16:02:12 PST 2021","Thu Nov 11 16:02:19 PST 2021","Sun Nov 14 16:02:19 PST 2021","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","We loved Verb & Ryan so much","Real"
"34KYK9TV318CHQWWZRN0ENZ228GBS2","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","3LOTDFNYAHZXO8NEE0OZJMOVZPYWFD","A2B6WQG0A9CKXQ","Submitted","Thu Nov 11 16:03:17 PST 2021","Thu Nov 11 16:50:34 PST 2021","Sun Nov 14 16:50:34 PST 2021","","","","2837","0% (0/0)","0% (0/0)","0% (0/0)","Stay here if you get the chance","Fake"
"34KYK9TV318CHQWWZRN0ENZ228GBS2","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","3RXCAC0YI1PSC7NRRHEBNRLLIXVG8H","A2JJF5OFND2KL5","Submitted","Thu Nov 11 16:02:24 PST 2021","Thu Nov 11 16:02:33 PST 2021","Sun Nov 14 16:02:33 PST 2021","","","","9","0% (0/0)","0% (0/0)","0% (0/0)","Stay here if you get the chance","Real"
"3XABXM4AKB5H2CJC4BELSLU0CEA8QB","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","3GLB5JMZF7V4T2JI8PPR9JZMTOSGDN","A3RYI5HXC2MJLN","Submitted","Thu Nov 11 16:02:37 PST 2021","Thu Nov 11 16:02:57 PST 2021","Sun Nov 14 16:02:57 PST 2021","","","","20","0% (0/0)","0% (0/0)","0% (0/0)","Best Hotel in Boston","Fake"
"3XABXM4AKB5H2CJC4BELSLU0CEA8QB","334916ZQEU5S4GLAOXDAVQVJSXXTZ7","Fake Review Analysis","Fake Review Analysis","Review, Analysis","$0.05","Thu Nov 11 16:01:17 PST 2021","2","BatchId:4600873;OriginalHitTemplateId:928390909;","3600","259200","Thu Nov 18 16:01:17 PST 2021","","","3JZQSN0I30A1RMXEZVKHXJ27518GFY","ANR8QZZI5RGVW","Submitted","Thu Nov 11 16:02:39 PST 2021","Thu Nov 11 16:06:22 PST 2021","Sun Nov 14 16:06:22 PST 2021","","","","223","0% (0/0)","0% (0/0)","0% (0/0)","Best Hotel in Boston","Real"
